data,ano,mes_num,mercado_codigo,mercado,cristo_redentor,pao_de_acucar
2025-03-01,2025,3,BR,Brasil,22,11
2025-03-01,2025,3,CL,Chile,73,37
2025-03-01,2025,3,CO,Colômbia,92,19
2025-03-01,2025,3,FR,França,100,16
2025-03-01,2025,3,US,Estados Unidos,100,9
2025-03-01,2025,3,UY,Uruguai,54,23
2025-03-01,2025,3,WORLD,Mundo,44,12
2025-04-01,2025,4,AR,Argentina,55,20
2025-04-01,2025,4,BR,Brasil,22,9
2025-04-01,2025,4,CL,Chile,64,29
2025-04-01,2025,4,CO,Colômbia,100,22
2025-04-01,2025,4,FR,França,74,14
2025-04-01,2025,4,US,Estados Unidos,98,7
2025-04-01,2025,4,UY,Uruguai,47,42
2025-04-01,2025,4,WORLD,Mundo,42,10
2025-05-01,2025,5,AR,Argentina,98,16
2025-05-01,2025,5,BR,Brasil,22,8
2025-05-01,2025,5,CL,Chile,80,30
2025-05-01,2025,5,CO,Colômbia,90,27
2025-05-01,2025,5,FR,França,76,15
2025-05-01,2025,5,US,Estados Unidos,98,7
2025-05-01,2025,5,UY,Uruguai,85,0
2025-05-01,2025,5,WORLD,Mundo,48,9
2025-06-01,2025,6,AR,Argentina,45,17
2025-06-01,2025,6,BR,Brasil,15,8
2025-06-01,2025,6,CL,Chile,71,25
2025-06-01,2025,6,CO,Colômbia,80,23
2025-06-01,2025,6,FR,França,71,11
2025-06-01,2025,6,US,Estados Unidos,66,7
2025-06-01,2025,6,UY,Uruguai,54,17
2025-06-01,2025,6,WORLD,Mundo,36,10
2025-07-01,2025,7,AR,Argentina,55,22
2025-07-01,2025,7,BR,Brasil,18,10
2025-07-01,2025,7,CL,Chile,59,38
2025-07-01,2025,7,CO,Colômbia,77,20
2025-07-01,2025,7,FR,França,70,13
2025-07-01,2025,7,US,Estados Unidos,63,11
2025-07-01,2025,7,UY,Uruguai,54,18
2025-07-01,2025,7,WORLD,Mundo,34,11
2025-08-01,2025,8,AR,Argentina,49,19
2025-08-01,2025,8,BR,Brasil,18,10
2025-08-01,2025,8,CL,Chile,67,27
2025-08-01,2025,8,CO,Colômbia,83,26
2025-08-01,2025,8,FR,França,80,15
2025-08-01,2025,8,US,Estados Unidos,63,7
2025-08-01,2025,8,UY,Uruguai,63,23
2025-08-01,2025,8,WORLD,Mundo,37,12
2025-09-01,2025,9,AR,Argentina,53,20
2025-09-01,2025,9,BR,Brasil,19,9
2025-09-01,2025,9,CL,Chile,78,32
2025-09-01,2025,9,CO,Colômbia,90,25
2025-09-01,2025,9,FR,França,71,11
2025-09-01,2025,9,US,Estados Unidos,72,6
2025-09-01,2025,9,UY,Uruguai,70,29
2025-09-01,2025,9,WORLD,Mundo,39,10
2025-10-01,2025,10,AR,Argentina,58,26
2025-10-01,2025,10,BR,Brasil,18,9
2025-10-01,2025,10,CL,Chile,70,37
2025-10-01,2025,10,CO,Colômbia,82,22
2025-10-01,2025,10,FR,França,56,10
2025-10-01,2025,10,US,Estados Unidos,73,6
2025-10-01,2025,10,UY,Uruguai,53,19
2025-10-01,2025,10,WORLD,Mundo,36,10
2025-11-01,2025,11,AR,Argentina,59,23
2025-11-01,2025,11,BR,Brasil,20,8
2025-11-01,2025,11,CL,Chile,78,33
2025-11-01,2025,11,CO,Colômbia,94,27
2025-11-01,2025,11,FR,França,79,14
2025-11-01,2025,11,US,Estados Unidos,76,10
2025-11-01,2025,11,UY,Uruguai,62,26
2025-11-01,2025,11,WORLD,Mundo,39,11
2025-12-01,2025,12,AR,Argentina,64,30
2025-12-01,2025,12,BR,Brasil,16,9
2025-12-01,2025,12,CL,Chile,71,32
2025-12-01,2025,12,CO,Colômbia,67,24
2025-12-01,2025,12,FR,França,73,17
2025-12-01,2025,12,US,Estados Unidos,87,11
2025-12-01,2025,12,UY,Uruguai,70,24
2025-12-01,2025,12,WORLD,Mundo,35,11
2026-01-01,2026,1,AR,Argentina,100,43
2026-01-01,2026,1,BR,Brasil,20,10
2026-01-01,2026,1,CL,Chile,95,54
2026-01-01,2026,1,CO,Colômbia,88,28
2026-01-01,2026,1,FR,França,75,17
2026-01-01,2026,1,US,Estados Unidos,85,12
2026-01-01,2026,1,UY,Uruguai,79,51
2026-01-01,2026,1,WORLD,Mundo,43,14
2026-02-01,2026,2,AR,Argentina,72,32
2026-02-01,2026,2,BR,Brasil,100,12
2026-02-01,2026,2,CL,Chile,87,41
2026-02-01,2026,2,CO,Colômbia,86,23
2026-02-01,2026,2,FR,França,85,26
2026-02-01,2026,2,US,Estados Unidos,96,14
2026-02-01,2026,2,UY,Uruguai,73,19
2026-02-01,2026,2,WORLD,Mundo,100,14
2026-03-01,2026,3,AR,Argentina,68,29
2026-03-01,2026,3,BR,Brasil,18,10
2026-03-01,2026,3,CL,Chile,60,29
2026-03-01,2026,3,CO,Colômbia,93,28
2026-03-01,2026,3,FR,França,73,14
2026-03-01,2026,3,US,Estados Unidos,89,14
2026-03-01,2026,3,UY,Uruguai,61,25
2026-03-01,2026,3,WORLD,Mundo,39,13
2026-04-01,2026,4,AR,Argentina,51,15
2026-04-01,2026,4,BR,Brasil,18,10
2026-04-01,2026,4,CL,Chile,56,23
2026-04-01,2026,4,CO,Colômbia,100,24
2026-04-01,2026,4,FR,França,70,15
2026-04-01,2026,4,US,Estados Unidos,86,10
2026-04-01,2026,4,UY,Uruguai,48,21
2026-04-01,2026,4,WORLD,Mundo,38,11
2026-05-01,2026,5,AR,Argentina,40,17
2026-05-01,2026,5,BR,Brasil,15,8
2026-05-01,2026,5,CL,Chile,59,25
2026-05-01,2026,5,CO,Colômbia,83,22
2026-05-01,2026,5,FR,França,68,15
2026-05-01,2026,5,US,Estados Unidos,91,10
2026-05-01,2026,5,UY,Uruguai,28,17
2026-05-01,2026,5,WORLD,Mundo,35,9
2026-06-01,2026,6,AR,Argentina,42,11
2026-06-01,2026,6,BR,Brasil,16,8
2026-06-01,2026,6,CL,Chile,50,18
2026-06-01,2026,6,CO,Colômbia,77,22
2026-06-01,2026,6,FR,França,61,11
2026-06-01,2026,6,US,Estados Unidos,73,9
2026-06-01,2026,6,UY,Uruguai,39,0
2026-06-01,2026,6,WORLD,Mundo,34,9
2026-07-01,2026,7,AR,Argentina,45,14
2026-07-01,2026,7,BR,Brasil,17,11
2026-07-01,2026,7,CL,Chile,42,20
2026-07-01,2026,7,CO,Colômbia,78,24
2026-07-01,2026,7,FR,França,60,11
2026-07-01,2026,7,US,Estados Unidos,62,8
2026-07-01,2026,7,UY,Uruguai,48,19
2026-07-01,2026,7,WORLD,Mundo,32,10
2026-08-01,2026,8,AR,Argentina,49,17
2026-08-01,2026,8,BR,Brasil,16,8
2026-08-01,2026,8,CL,Chile,49,16
2026-08-01,2026,8,CO,Colômbia,89,23
2026-08-01,2026,8,FR,França,70,15
2026-08-01,2026,8,US,Estados Unidos,53,7
2026-08-01,2026,8,UY,Uruguai,59,17
2026-08-01,2026,8,WORLD,Mundo,30,10
